|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|AÑO
10265|2021-08|META-VILLAVICENCIO|12480.71|2211.05|0.1504959242459719|2021
3766|2018-05|ATLANTICO-BARRANQUILLA|33655.0|2202.6533|0.06142770363614398|2018
4391|2018-09|ANTIOQUIA-MEDELLIN|52571.52|2196.0838999999996|0.04009822858071028|2018
3451|2018-03|ATLANTICO-BARRANQUILLA|33655.0|2194.7670999999996|0.061221237334063455|2018
5988|2019-06|VALLE DEL CAUCA-CALI|56308.97|2179.6551|0.03726630770125591|2019
5464|2019-03|META-VILLAVICENCIO|12234.13|2142.5449000000003|0.14902923762990566|2019
4405|2018-09|ATLANTICO-BARRANQUILLA|32761.0|2142.3244799999993|0.061378808807383826|2018
5626|2019-04|META-VILLAVICENCIO|12234.13|2132.54088|0.1484366766533737|2019
10738|2021-11|CUNDINAMARCA-SOACHA|14372.31|2131.39|0.12914619146009682|2021
5302|2019-02|META-VILLAVICENCIO|12234.13|2120.21915|0.14770569726597463|2019
4069|2018-07|ANTIOQUIA-MEDELLIN|53775.77|2116.38307|0.03786547759842811|2018
5446|2019-03|CUNDINAMARCA-SOACHA|12427.26|2112.723|0.1453043652114311|2019
10078|2021-07|CUNDINAMARCA-SOACHA|14372.31|2108.8100000000004|0.12795307600454342|2021
10920|2021-12|META-VILLAVICENCIO|12480.71|2102.5699999999997|0.14417675584642137|2021
5769|2019-05|CUNDINAMARCA-SOACHA|12427.27|2097.0995|0.14438489051108205|2019
5136|2019-01|META-VILLAVICENCIO|12234.13|2096.03764|0.1462674891638602|2019
7247|2020-02|CUNDINAMARCA-SOACHA|25726.02|2072.4700000000003|0.07455333005497781|2020
5503|2019-03|VALLE DEL CAUCA-CALI|56308.96|2054.0855|0.035194967678648645|2019
6587|2019-10|CUNDINAMARCA-SOACHA|12520.37|2042.8500000000004|0.1402746095987014|2019
3838|2018-05|META-VILLAVICENCIO|12137.8|2037.1453999999999|0.1437145147663144|2018
7577|2020-04|CUNDINAMARCA-SOACHA|12863.01|2028.7499999999998|0.13623305774468564|2020
8816|2020-12|ANTIOQUIA-BELLO|9023.858|1949.3300000000002|0.1776448193542296|2020
8324|2020-09|ANTIOQUIA-BELLO|9023.858|1948.3|0.1775676216109903|2020
10410|2021-09|CUNDINAMARCA-SOACHA|14372.31|1945.6399999999999|0.11923311445371508|2021
6752|2019-11|CUNDINAMARCA-SOACHA|12520.37|1938.5300000000004|0.1340717481966125|2019
3682|2018-04|META-VILLAVICENCIO|12137.8|1896.661146|0.13514313989465657|2018
8982|2021-01|ANTIOQUIA-BELLO|10533.05|1892.65|0.15231737447387272|2021
10431|2021-09|META-VILLAVICENCIO|12480.71|1892.3500000000004|0.13165950743961274|2021
9318|2021-03|ANTIOQUIA-BELLO|10533.05|1880.5099999999998|0.15148837239277047|2021
3752|2018-05|ANTIOQUIA-MEDELLIN|53775.77|1861.1859000000002|0.03345233163628207|2018
175|2016-05|BOGOTA, D.C.-BOGOTA, D.C.|190748.262|1821.7797000000003|0.009460348473300456|2016
3294|2018-02|ATLANTICO-BARRANQUILLA|33655.0|1818.17205|0.05125484823960083|2018
4483|2018-09|META-VILLAVICENCIO|11600.5|1814.920799|0.13528616255818723|2018
8651|2020-11|ANTIOQUIA-BELLO|9023.858|1805.8700000000001|0.1667511871027601|2020
5342|2019-02|VALLE DEL CAUCA-CALI|56308.97|1788.7241999999999|0.030788213278178603|2019
7411|2020-03|CUNDINAMARCA-SOACHA|12863.01|1788.5599999999995|0.12207292460807952|2020
2981|2017-12|ATLANTICO-BARRANQUILLA|33912.0|1782.2513|0.0499310458992594|2017
3137|2018-01|ATLANTICO-BARRANQUILLA|33655.0|1778.7649999999999|0.05019971769864139|2018
4320|2018-08|META-VILLAVICENCIO|11600.5|1771.941621|0.13250696254432354|2018
