|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total population_x|Departamento|Municipio|REGION|DP|DPNOM|DPMP|MPIO|ÁREA GEOGRÁFICA|Tasa_de_aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
48|2020-01|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|99967.29000000008|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|22.00352827567452|0.012909074239196907|12.909074239196906|0.04575912695773671|12.909074239196906
49|2020-01|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|99967.29000000008|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|22.00352827567452|0.012909074239196907|12.909074239196906|0.04575912695773671|12.909074239196906
50|2020-01|BOGOTA, D.C.-BOGOTA, D.C.|354356.61999999994|99967.29000000008|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|22.00352827567452|0.012909074239196907|12.909074239196906|0.04575912695773671|12.909074239196906
51|2019-10|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|93648.85000000003|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|35.348465984185665|0.012333786521593747|12.333786521593746|0.022558212828849587|12.333786521593746
52|2019-10|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|93648.85000000003|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|35.348465984185665|0.012333786521593747|12.333786521593746|0.022558212828849587|12.333786521593746
53|2019-10|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|93648.85000000003|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|35.348465984185665|0.012333786521593747|12.333786521593746|0.022558212828849587|12.333786521593746
54|2020-04|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|93428.81999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|34.52563130912329|0.012064742111750387|12.064742111750386|0.02287956347886836|12.064742111750386
55|2020-04|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|93428.81999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|34.52563130912329|0.012064742111750387|12.064742111750386|0.02287956347886836|12.064742111750386
56|2020-04|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|93428.81999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|34.52563130912329|0.012064742111750387|12.064742111750386|0.02287956347886836|12.064742111750386
57|2019-11|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|92055.20000000004|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|34.9572106898846|0.01212389885196259|12.12389885196259|0.022558212828849587|12.12389885196259
58|2019-11|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|92055.20000000004|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|34.9572106898846|0.01212389885196259|12.12389885196259|0.022558212828849587|12.12389885196259
59|2019-11|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|92055.20000000004|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|34.9572106898846|0.01212389885196259|12.12389885196259|0.022558212828849587|12.12389885196259
60|2019-07|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|88812.96552999996|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|34.14641338200357|0.011696888506337056|11.696888506337057|0.022558212828849587|11.696888506337057
61|2019-07|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|88812.96552999996|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|34.14641338200357|0.011696888506337056|11.696888506337057|0.022558212828849587|11.696888506337057
62|2019-07|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|88812.96552999996|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|34.14641338200357|0.011696888506337056|11.696888506337057|0.022558212828849587|11.696888506337057
