,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
1941,RELLENO SANITARIO PARQUE AMBIENTAL ANDALUCIA,"QUINDIO - MONTENEGRO , QUINDIO - LA TEBAIDA , QUINDIO - CALARCA , QUINDIO - ARMENIA , VALLE DEL CAUCA - SEVILLA , QUINDIO - BUENAVISTA , QUINDIO - CIRCASIA , QUINDIO - CORDOBA , QUINDIO - GENOVA , QUINDIO - PIJAO , QUINDIO - QUIMBAYA , QUINDIO - SALENTO , QUINDIO - FILANDIA , VALLE DEL CAUCA - CARTAGO , VALLE DEL CAUCA - CAICEDONIA , VALLE DEL CAUCA - OBANDO , VALLE DEL CAUCA - ANSERMANUEVO , VALLE DEL CAUCA - BOLIVAR , VALLE DEL CAUCA - ALCALA , VALLE DEL CAUCA - TRUJILLO"
2150,RELLENO SANITARIO REGIONAL PRESIDENTE,"VALLE DEL CAUCA - ANDALUCIA , VALLE DEL CAUCA - PRADERA , VALLE DEL CAUCA - EL CERRITO , VALLE DEL CAUCA - SAN PEDRO , VALLE DEL CAUCA - TULUA , VALLE DEL CAUCA - LA VICTORIA , VALLE DEL CAUCA - PALMIRA , VALLE DEL CAUCA - GUADALAJARA DE BUGA , VALLE DEL CAUCA - ROLDANILLO , VALLE DEL CAUCA - TRUJILLO , VALLE DEL CAUCA - ZARZAL , VALLE DEL CAUCA - LA UNION , VALLE DEL CAUCA - GUACARI , VALLE DEL CAUCA - BUGALAGRANDE , VALLE DEL CAUCA - GINEBRA , VALLE DEL CAUCA - RIOFRIO , VALLE DEL CAUCA - VIJES , VALLE DEL CAUCA - YUMBO , VALLE DEL CAUCA - CALIMA , VALLE DEL CAUCA - CARTAGO , CAUCA - VILLA RICA , VALLE DEL CAUCA - CANDELARIA , VALLE DEL CAUCA - YOTOCO , VALLE DEL CAUCA - BOLIVAR , VALLE DEL CAUCA - CALI , VALLE DEL CAUCA - EL DOVIO , VALLE DEL CAUCA - CAICEDONIA , VALLE DEL CAUCA - OBANDO , QUINDIO - ARMENIA"
2476,EL ALGARROBO,"GUAVIARE - SAN JOSE DEL GUAVIARE , GUAVIARE - EL RETORNO , META - PUERTO CONCORDIA , META - PUERTO RICO"
2820,rancho triste ,ANTIOQUIA - LA CEJA
2826,EL CLAVO,"ATLANTICO - SOLEDAD , ATLANTICO - CAMPO DE LA CRUZ , ATLANTICO - REPELON , ATLANTICO - SUAN , ATLANTICO - MANATI , ATLANTICO - PONEDERA , ATLANTICO - SANTA LUCIA , ATLANTICO - CANDELARIA , ATLANTICO - PIOJO , ATLANTICO - JUAN DE ACOSTA , ATLANTICO - TUBARA , ATLANTICO - POLONUEVO , ATLANTICO - USIACURI , ATLANTICO - SANTO TOMAS , ATLANTICO - PALMAR DE VARELA , ATLANTICO - SABANAGRANDE , ATLANTICO - MALAMBO , ATLANTICO - BARANOA , ATLANTICO - SABANALARGA , ATLANTICO - BARRANQUILLA , ATLANTICO - GALAPA , ATLANTICO - LURUACO"
2857,REGIONAL SUR DE LA GUAJIRA,"LA GUAJIRA - DISTRACCION , LA GUAJIRA - SAN JUAN DEL CESAR , LA GUAJIRA - FONSECA , LA GUAJIRA - HATONUEVO , LA GUAJIRA - BARRANCAS , LA GUAJIRA - URUMITA , LA GUAJIRA - MAICAO , LA GUAJIRA - ALBANIA , LA GUAJIRA - EL MOLINO"
2863,CELDA DE CONTINGENCIA,"LA GUAJIRA - RIOHACHA , LA GUAJIRA - DIBULLA , LA GUAJIRA - MANAURE"
2864,REGIONAL ECOSISTEMA SIERRA NEVADA DE SANTA MARTA,"MAGDALENA - EL RETEN , MAGDALENA - ZONA BANANERA , MAGDALENA - FUNDACION , MAGDALENA - ARACATACA , MAGDALENA - PIVIJAY , MAGDALENA - ALGARROBO , CESAR - EL COPEY"
2868,PARQUE AMBIENTAL PALANGANA,MAGDALENA - SANTA MARTA
2870,EL OASIS,"SUCRE - COVENAS , nan , SUCRE - SAN LUIS DE SINCE , SUCRE - SAN MARCOS , SUCRE - SINCELEJO , SUCRE - MORROA , SUCRE - COROZAL , SUCRE - TOLU VIEJO , SUCRE - LA UNION , SUCRE - SANTIAGO DE TOLU , CORDOBA - LORICA , SUCRE - COLOSO , CORDOBA - MONTERIA , SUCRE - LOS PALMITOS , SUCRE - EL ROBLE , CORDOBA - CHIMA , CORDOBA - MOMIL , CORDOBA - PURISIMA DE LA CONCEPCION , CORDOBA - SAN ANDRES DE SOTAVENTO , CORDOBA - SAN ANTERO , CORDOBA - TUCHIN , SUCRE - PALMITO , SUCRE - SAN ONOFRE , SUCRE - SAN PEDRO , SUCRE - CAIMITO , CORDOBA - COTORRA , CORDOBA - CHINU"
2900,LA MIEL,"TOLIMA - SAN LUIS , TOLIMA - ALVARADO , TOLIMA - VALLE DE SAN JUAN , TOLIMA - ANZOATEGUI , TOLIMA - LERIDA , TOLIMA - IBAGUE , TOLIMA - ROVIRA , TOLIMA - VENADILLO , TOLIMA - PIEDRAS , TOLIMA - CAJAMARCA , TOLIMA - MURILLO , TOLIMA - AMBALEMA , TOLIMA - SUAREZ , TOLIMA - ORTEGA , TOLIMA - SANTA ISABEL , TOLIMA - SAN ANTONIO"
3284,EL CASCAJAR,"CASANARE - PORE , CASANARE - HATO COROZAL , BOYACA - PAJARITO , CASANARE - SAN LUIS DE PALENQUE , CASANARE - TAMARA , CASANARE - LA SALINA , CASANARE - AGUAZUL , CASANARE - YOPAL , CASANARE - SACAMA , CASANARE - RECETOR , CASANARE - CHAMEZA , CASANARE - PAZ DE ARIPORO , CASANARE - MONTERREY , CASANARE - NUNCHIA , CASANARE - TRINIDAD , CASANARE - VILLANUEVA , CASANARE - MANI , CASANARE - OROCUE , ARAUCA - ARAUCA , META - BARRANCA DE UPIA , CASANARE - TAURAMENA , BOYACA - LABRANZAGRANDE , BOYACA - PAYA , CASANARE - SABANALARGA , META - PUERTO GAITAN , ARAUCA - TAME"
3494,CELDA TRANSITORIA NUMA,BOYACA - BUSBANZA
3498,Planta de tramiento de Residuos Solidos,"HUILA - OPORAPA , HUILA - SAN AGUSTIN , HUILA - ACEVEDO , HUILA - PITALITO , HUILA - TIMANA , HUILA - PALESTINA , HUILA - SALADOBLANCO , HUILA - ELIAS , HUILA - ISNOS"
3564,LA TABACA,ANTIOQUIA - PUERTO BERRIO
3569,CELDA SAN PEDRO,ARAUCA - FORTUL
3571,LOS CORAZONES,"CESAR - PUEBLO BELLO , CESAR - LA PAZ , CESAR - SAN DIEGO , LA GUAJIRA - VILLANUEVA , CESAR - VALLEDUPAR , CESAR - AGUSTIN CODAZZI , CESAR - MANAURE BALCON DEL CESAR , CESAR - BECERRIL , LA GUAJIRA - URUMITA , CESAR - LA JAGUA DE IBIRICO , LA GUAJIRA - EL MOLINO , LA GUAJIRA - DISTRACCION , LA GUAJIRA - SAN JUAN DEL CESAR , LA GUAJIRA - FONSECA , CESAR - BOSCONIA"
3650,GRANJA PARA EL MANEJO INTEGRAL DE RESIDUOS SOLIDOS,ANTIOQUIA - EL SANTUARIO
3656,RELLENO SANITARIO Y GRANJA AMBIENTAL LOS SALTOS,ANTIOQUIA - MARINILLA
3663,RELLENO SANITARIO CERRO MATOSO,CORDOBA - MONTELIBANO
3667,EL CARRASCO,"SANTANDER - FLORIDABLANCA , SANTANDER - PIEDECUESTA , SANTANDER - BUCARAMANGA , SANTANDER - LEBRIJA , SANTANDER - GIRON , SANTANDER - ZAPATOCA , SANTANDER - EL PLAYON , SANTANDER - TONA , SANTANDER - SANTA BARBARA , SANTANDER - RIONEGRO , SANTANDER - SURATA , SANTANDER - MATANZA , SANTANDER - CHARTA , SANTANDER - BETULIA , SANTANDER - CALIFORNIA , SANTANDER - LOS SANTOS"
3955,CIUDADBOLIVAR,ANTIOQUIA - CIUDAD BOLIVAR
3961,EL JAZMIN,VALLE DEL CAUCA - CAICEDONIA
3964,RELLENO SANITARIO DE COCORNA,ANTIOQUIA - COCORNA
3968,RELLENO SANITARIO REDIBA SA ESP,SANTANDER - BARRANCABERMEJA
3981,RELLENO REGIONAL NOROCCIDENTE DEL CESAR,"CESAR - BOSCONIA , CESAR - CURUMANI , CESAR - PAILITAS , CESAR - EL PASO , CESAR - LA JAGUA DE IBIRICO , CESAR - ASTREA , CESAR - EL COPEY , CESAR - LA GLORIA , CESAR - TAMALAMEQUE , MAGDALENA - ARIGUANI , BOLIVAR - MOMPOS , MAGDALENA - SANTA ANA , MAGDALENA - PLATO , CESAR - CHIRIGUANA , MAGDALENA - EL BANCO , CESAR - SAN ALBERTO , CESAR - CHIMICHAGUA , CESAR - BECERRIL"
4009,PARQUE AMBIENTAL BIOGER,"BOLIVAR - SANTA ROSA , BOLIVAR - VILLANUEVA , BOLIVAR - SANTA CATALINA , BOLIVAR - SAN ESTANISLAO , BOLIVAR - TURBACO , BOLIVAR - ARJONA , BOLIVAR - CARTAGENA DE INDIAS , CESAR - VALLEDUPAR , BOLIVAR - TURBANA , BOLIVAR - MAHATES , BOLIVAR - SAN JACINTO , BOLIVAR - CALAMAR , BOLIVAR - SAN JUAN NEPOMUCENO"
4079,CHICAO,CAQUETA - CURILLO
4085,LAS BATEAS,"CESAR - PELAYA , CESAR - AGUACHICA , CESAR - CURUMANI , CESAR - GAMARRA , CESAR - LA GLORIA , CESAR - PAILITAS , CESAR - SAN ALBERTO , CESAR - TAMALAMEQUE , NORTE DE SANTANDER - LA ESPERANZA , CESAR - SAN MARTIN , CESAR - RIO DE ORO , SANTANDER - BARRANCABERMEJA , SANTANDER - RIONEGRO , SANTANDER - EL CARMEN DE CHUCURI , NORTE DE SANTANDER - OCANA , SANTANDER - BUCARAMANGA , SANTANDER - SABANA DE TORRES , NORTE DE SANTANDER - CACHIRA , SANTANDER - PUERTO WILCHES , BOLIVAR - CANTAGALLO , NORTE DE SANTANDER - SAN CALIXTO , NORTE DE SANTANDER - CONVENCION , MAGDALENA - EL BANCO , SANTANDER - PIEDECUESTA , CESAR - EL PASO , SANTANDER - SAN VICENTE DE CHUCURI , SANTANDER - GIRON , CESAR - ASTREA , CESAR - LA JAGUA DE IBIRICO , CESAR - BOSCONIA , CESAR - VALLEDUPAR , CESAR - CHIRIGUANA , NORTE DE SANTANDER - CUCUTA"
4125,GUAYABAL,"NORTE DE SANTANDER - CUCUTA , NORTE DE SANTANDER - VILLA DEL ROSARIO , NORTE DE SANTANDER - LOS PATIOS , NORTE DE SANTANDER - HERRAN , NORTE DE SANTANDER - BUCARASICA , NORTE DE SANTANDER - RAGONVALIA , NORTE DE SANTANDER - SANTIAGO , NORTE DE SANTANDER - SARDINATA , NORTE DE SANTANDER - PUERTO SANTANDER , NORTE DE SANTANDER - CHINACOTA , NORTE DE SANTANDER - EL ZULIA , NORTE DE SANTANDER - DURANIA , NORTE DE SANTANDER - GRAMALOTE , NORTE DE SANTANDER - ARBOLEDAS , NORTE DE SANTANDER - SALAZAR , NORTE DE SANTANDER - SAN CAYETANO , NORTE DE SANTANDER - VILLA CARO , NORTE DE SANTANDER - LOURDES , NORTE DE SANTANDER - BOCHALEMA , NORTE DE SANTANDER - PAMPLONITA , NORTE DE SANTANDER - PAMPLONA , NORTE DE SANTANDER - TIBU , NORTE DE SANTANDER - EL CARMEN , NORTE DE SANTANDER - CONVENCION"
4569,LA MARIA,"MAGDALENA - PUEBLOVIEJO , MAGDALENA - CIENAGA"
4579,LA DORADITA,"BOYACA - PUERTO BOYACA , CALDAS - VICTORIA , CALDAS - LA DORADA , CUNDINAMARCA - CAPARRAPI , CUNDINAMARCA - LA PALMA , CUNDINAMARCA - GUADUAS , TOLIMA - SAN SEBASTIAN DE MARIQUITA , TOLIMA - CASABIANCA , TOLIMA - FALAN , TOLIMA - PALOCABILDO , BOYACA - OTANCHE , TOLIMA - HONDA , CUNDINAMARCA - PUERTO SALGAR , CALDAS - NORCASIA , CESAR - AGUACHICA , BOGOTA DC - BOGOTA DC , CUNDINAMARCA - GIRARDOT , TOLIMA - ARMERO GUAYABAL , TOLIMA - FRESNO , TOLIMA - VILLAHERMOSA , CUNDINAMARCA - YACOPI , CUNDINAMARCA - MOSQUERA , ANTIOQUIA - PUERTO TRIUNFO , BOYACA - CHIQUINQUIRA , CALDAS - SAMANA , SANTANDER - PUERTO PARRA , ANTIOQUIA - SAN FRANCISCO , TOLIMA - CHAPARRAL"
4700,LA CANDELARIA,"SUCRE - LOS PALMITOS , SUCRE - GALERAS , SUCRE - EL ROBLE , SUCRE - SAN ONOFRE , BOYACA - OTANCHE , BOLIVAR - MAGANGUE , SUCRE - COROZAL , SUCRE - SAMPUES , CORDOBA - CHINU , BOLIVAR - EL CARMEN DE BOLIVAR , SUCRE - TOLU VIEJO , SUCRE - SAN PEDRO , SUCRE - OVEJAS , SUCRE - CAIMITO , SUCRE - BUENAVISTA , SUCRE - CHALAN , SUCRE - COLOSO , SUCRE - MORROA , SUCRE - PALMITO , SUCRE - SAN JUAN DE BETULIA , CORDOBA - SAN ANTERO , MAGDALENA - PLATO , MAGDALENA - NUEVA GRANADA , SUCRE - SINCELEJO , CORDOBA - SAN BERNARDO DEL VIENTO , MAGDALENA - CHIVOLO , MAGDALENA - TENERIFE , SUCRE - SANTIAGO DE TOLU , BOLIVAR - MARIA LA BAJA , SUCRE - COVENAS , BOLIVAR - CORDOBA , SUCRE - SAN BENITO ABAD , BOLIVAR - CICUCO , BOLIVAR - TALAIGUA NUEVO , MAGDALENA - PIJINO DEL CARMEN , MAGDALENA - SANTA BARBARA DE PINTO , SUCRE - LA UNION , ATLANTICO - MALAMBO , MAGDALENA - ARIGUANI"
4828,PARQUE ECOLOGICO PRADERAS DEL MAGDALENA,"CUNDINAMARCA - NARINO , CUNDINAMARCA - ANAPOIMA , TOLIMA - CUNDAY , CUNDINAMARCA - BELTRAN , TOLIMA - AMBALEMA , TOLIMA - SALDANA , CUNDINAMARCA - NILO , CUNDINAMARCA - APULO , CUNDINAMARCA - ARBELAEZ , TOLIMA - GUAMO , CUNDINAMARCA - RICAURTE , CUNDINAMARCA - JERUSALEN , CUNDINAMARCA - TIBACUY , TOLIMA - DOLORES , CUNDINAMARCA - SAN JUAN DE RIOSECO , TOLIMA - LIBANO , TOLIMA - PRADO , TOLIMA - SUAREZ , CUNDINAMARCA - PULI , CUNDINAMARCA - VENECIA , CUNDINAMARCA - CABRERA , CUNDINAMARCA - SAN BERNARDO , TOLIMA - ARMERO GUAYABAL , CUNDINAMARCA - AGUA DE DIOS , CUNDINAMARCA - TOCAIMA , TOLIMA - VILLARRICA , TOLIMA - ICONONZO , TOLIMA - FLANDES , CUNDINAMARCA - GUATAQUI , TOLIMA - COELLO , CUNDINAMARCA - GIRARDOT , TOLIMA - ESPINAL , CUNDINAMARCA - FUSAGASUGA , TOLIMA - MELGAR , TOLIMA - SAN ANTONIO , TOLIMA - CARMEN DE APICALA , CUNDINAMARCA - LA MESA , TOLIMA - SAN LUIS , CUNDINAMARCA - PANDI , CUNDINAMARCA - VIOTA , TOLIMA - RIOBLANCO , TOLIMA - PLANADAS , TOLIMA - PIEDRAS , TOLIMA - COYAIMA , CUNDINAMARCA - PASCA , CESAR - LA GLORIA , nan , CUNDINAMARCA - GRANADA , TOLIMA - MURILLO , TOLIMA - PALOCABILDO"
