COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
05190;EJE CAFETERO;CISNEROS;SIN APROVECHAMIENTO
05197;EJE CAFETERO;COCORNÁ;SIN APROVECHAMIENTO
05206;EJE CAFETERO;CONCEPCIÓN;SIN APROVECHAMIENTO
05209;EJE CAFETERO;CONCORDIA;SIN APROVECHAMIENTO
05234;EJE CAFETERO;DABEIBA;SIN APROVECHAMIENTO
05237;EJE CAFETERO;DONMATÍAS;SIN APROVECHAMIENTO
05240;EJE CAFETERO;EBÉJICO;SIN APROVECHAMIENTO
05250;EJE CAFETERO;EL BAGRE;SIN APROVECHAMIENTO
05264;EJE CAFETERO;ENTRERRÍOS;SIN APROVECHAMIENTO
05282;EJE CAFETERO;FREDONIA;SIN APROVECHAMIENTO
05284;EJE CAFETERO;FRONTINO;SIN APROVECHAMIENTO
05306;EJE CAFETERO;GIRALDO;SIN APROVECHAMIENTO
05310;EJE CAFETERO;GÓMEZ PLATA;SIN APROVECHAMIENTO
05313;EJE CAFETERO;GRANADA;SIN APROVECHAMIENTO
05315;EJE CAFETERO;GUADALUPE;SIN APROVECHAMIENTO
05321;EJE CAFETERO;GUATAPÉ;SIN APROVECHAMIENTO
05347;EJE CAFETERO;HELICONIA;SIN APROVECHAMIENTO
05353;EJE CAFETERO;HISPANIA;SIN APROVECHAMIENTO
05361;EJE CAFETERO;ITUANGO;SIN APROVECHAMIENTO
05364;EJE CAFETERO;JARDÍN;SIN APROVECHAMIENTO
05368;EJE CAFETERO;JERICÓ;SIN APROVECHAMIENTO
05390;EJE CAFETERO;LA PINTADA;SIN APROVECHAMIENTO
05400;EJE CAFETERO;LA UNIÓN;SIN APROVECHAMIENTO
05411;EJE CAFETERO;LIBORINA;SIN APROVECHAMIENTO
05425;EJE CAFETERO;MACEO;SIN APROVECHAMIENTO
05467;EJE CAFETERO;MONTEBELLO;SIN APROVECHAMIENTO
05475;EJE CAFETERO;MURINDÓ;SIN APROVECHAMIENTO
05480;EJE CAFETERO;MUTATÁ;SIN APROVECHAMIENTO
05483;EJE CAFETERO;NARIÑO;SIN APROVECHAMIENTO
05490;EJE CAFETERO;NECOCLÍ;SIN APROVECHAMIENTO
05495;EJE CAFETERO;NECHÍ;SIN APROVECHAMIENTO
05501;EJE CAFETERO;OLAYA;SIN APROVECHAMIENTO
05541;EJE CAFETERO;PEÑOL;SIN APROVECHAMIENTO
05543;EJE CAFETERO;PEQUE;SIN APROVECHAMIENTO
05576;EJE CAFETERO;PUEBLORRICO;SIN APROVECHAMIENTO
05579;EJE CAFETERO;PUERTO BERRÍO;SIN APROVECHAMIENTO
05585;EJE CAFETERO;PUERTO NARE;SIN APROVECHAMIENTO
05604;EJE CAFETERO;REMEDIOS;SIN APROVECHAMIENTO
05607;EJE CAFETERO;RETIRO;SIN APROVECHAMIENTO
05628;EJE CAFETERO;SABANALARGA;SIN APROVECHAMIENTO
05647;EJE CAFETERO;SAN ANDRÉS DE CUERQUÍA;SIN APROVECHAMIENTO
05649;EJE CAFETERO;SAN CARLOS;SIN APROVECHAMIENTO
05652;EJE CAFETERO;SAN FRANCISCO;SIN APROVECHAMIENTO
05656;EJE CAFETERO;SAN JERÓNIMO;SIN APROVECHAMIENTO
05658;EJE CAFETERO;SAN JOSÉ DE LA MONTAÑA;SIN APROVECHAMIENTO
05659;EJE CAFETERO;SAN JUAN DE URABÁ;SIN APROVECHAMIENTO
05660;EJE CAFETERO;SAN LUIS;SIN APROVECHAMIENTO
05665;EJE CAFETERO;SAN PEDRO DE URABÁ;SIN APROVECHAMIENTO
05667;EJE CAFETERO;SAN RAFAEL;SIN APROVECHAMIENTO
05670;EJE CAFETERO;SAN ROQUE;SIN APROVECHAMIENTO
05679;EJE CAFETERO;SANTA BÁRBARA;SIN APROVECHAMIENTO
05690;EJE CAFETERO;SANTO DOMINGO;SIN APROVECHAMIENTO
05736;EJE CAFETERO;SEGOVIA;SIN APROVECHAMIENTO
05756;EJE CAFETERO;SONSÓN;SIN APROVECHAMIENTO
05761;EJE CAFETERO;SOPETRÁN;SIN APROVECHAMIENTO
05789;EJE CAFETERO;TÁMESIS;SIN APROVECHAMIENTO
05790;EJE CAFETERO;TARAZÁ;SIN APROVECHAMIENTO
05792;EJE CAFETERO;TARSO;SIN APROVECHAMIENTO
05809;EJE CAFETERO;TITIRIBÍ;SIN APROVECHAMIENTO
05819;EJE CAFETERO;TOLEDO;SIN APROVECHAMIENTO
05837;EJE CAFETERO;TURBO;SIN APROVECHAMIENTO
05842;EJE CAFETERO;URAMITA;SIN APROVECHAMIENTO
05854;EJE CAFETERO;VALDIVIA;SIN APROVECHAMIENTO
05856;EJE CAFETERO;VALPARAÍSO;SIN APROVECHAMIENTO
05858;EJE CAFETERO;VEGACHÍ;SIN APROVECHAMIENTO
05861;EJE CAFETERO;VENECIA;SIN APROVECHAMIENTO
05873;EJE CAFETERO;VIGÍA DEL FUERTE;SIN APROVECHAMIENTO
05885;EJE CAFETERO;YALÍ;SIN APROVECHAMIENTO
05890;EJE CAFETERO;YOLOMBÓ;SIN APROVECHAMIENTO
05895;EJE CAFETERO;ZARAGOZA;SIN APROVECHAMIENTO
08137;CARIBE;CAMPO DE LA CRUZ;SIN APROVECHAMIENTO
08141;CARIBE;CANDELARIA;SIN APROVECHAMIENTO
08372;CARIBE;JUAN DE ACOSTA;SIN APROVECHAMIENTO
08421;CARIBE;LURUACO;SIN APROVECHAMIENTO
08436;CARIBE;MANATÍ;SIN APROVECHAMIENTO
08549;CARIBE;PIOJÓ;SIN APROVECHAMIENTO
08558;CARIBE;POLONUEVO;SIN APROVECHAMIENTO
08560;CARIBE;PONEDERA;SIN APROVECHAMIENTO
08606;CARIBE;REPELÓN;SIN APROVECHAMIENTO
08675;CARIBE;SANTA LUCÍA;SIN APROVECHAMIENTO
08770;CARIBE;SUAN;SIN APROVECHAMIENTO
08832;CARIBE;TUBARÁ;SIN APROVECHAMIENTO
08849;CARIBE;USIACURÍ;SIN APROVECHAMIENTO
13006;CARIBE;ACHÍ;SIN APROVECHAMIENTO
13030;CARIBE;ALTOS DEL ROSARIO;SIN APROVECHAMIENTO
13042;CARIBE;ARENAL;SIN APROVECHAMIENTO
13052;CARIBE;ARJONA;SIN APROVECHAMIENTO
13062;CARIBE;ARROYOHONDO;SIN APROVECHAMIENTO
13074;CARIBE;BARRANCO DE LOBA;SIN APROVECHAMIENTO
13140;CARIBE;CALAMAR;SIN APROVECHAMIENTO
13160;CARIBE;CANTAGALLO;SIN APROVECHAMIENTO
13188;CARIBE;CICUCO;SIN APROVECHAMIENTO
13212;CARIBE;CÓRDOBA;SIN APROVECHAMIENTO
13222;CARIBE;CLEMENCIA;SIN APROVECHAMIENTO
13244;CARIBE;EL CARMEN DE BOLÍVAR;SIN APROVECHAMIENTO
13248;CARIBE;EL GUAMO;SIN APROVECHAMIENTO
