DP;DPNOM;DPMP;MPIO;AÑO;ÁREA GEOGRÁFICA;Total
05;Antioquia;05034;Andes;2031;Cabecera Municipal;26.666
05;Antioquia;05034;Andes;2031;Centros Poblados y Rural Disperso;23.546
05;Antioquia;05034;Andes;2031;Total;50.212
05;Antioquia;05034;Andes;2032;Cabecera Municipal;26.925
05;Antioquia;05034;Andes;2032;Centros Poblados y Rural Disperso;23.795
05;Antioquia;05034;Andes;2032;Total;50.720
05;Antioquia;05034;Andes;2033;Cabecera Municipal;27.153
05;Antioquia;05034;Andes;2033;Centros Poblados y Rural Disperso;24.035
05;Antioquia;05034;Andes;2033;Total;51.188
05;Antioquia;05034;Andes;2034;Cabecera Municipal;27.387
05;Antioquia;05034;Andes;2034;Centros Poblados y Rural Disperso;24.282
05;Antioquia;05034;Andes;2034;Total;51.669
05;Antioquia;05034;Andes;2035;Cabecera Municipal;27.621
05;Antioquia;05034;Andes;2035;Centros Poblados y Rural Disperso;24.554
05;Antioquia;05034;Andes;2035;Total;52.175
05;Antioquia;05036;Angelópolis;2018;Cabecera Municipal;2.168
05;Antioquia;05036;Angelópolis;2018;Centros Poblados y Rural Disperso;3.588
05;Antioquia;05036;Angelópolis;2018;Total;5.756
05;Antioquia;05036;Angelópolis;2019;Cabecera Municipal;2.252
05;Antioquia;05036;Angelópolis;2019;Centros Poblados y Rural Disperso;3.538
05;Antioquia;05036;Angelópolis;2019;Total;5.790
05;Antioquia;05036;Angelópolis;2020;Cabecera Municipal;2.331
05;Antioquia;05036;Angelópolis;2020;Centros Poblados y Rural Disperso;3.510
05;Antioquia;05036;Angelópolis;2020;Total;5.841
05;Antioquia;05036;Angelópolis;2021;Cabecera Municipal;2.462
05;Antioquia;05036;Angelópolis;2021;Centros Poblados y Rural Disperso;3.470
05;Antioquia;05036;Angelópolis;2021;Total;5.932
05;Antioquia;05036;Angelópolis;2022;Cabecera Municipal;2.563
05;Antioquia;05036;Angelópolis;2022;Centros Poblados y Rural Disperso;3.460
05;Antioquia;05036;Angelópolis;2022;Total;6.023
05;Antioquia;05036;Angelópolis;2023;Cabecera Municipal;2.658
05;Antioquia;05036;Angelópolis;2023;Centros Poblados y Rural Disperso;3.459
05;Antioquia;05036;Angelópolis;2023;Total;6.117
05;Antioquia;05036;Angelópolis;2024;Cabecera Municipal;2.707
05;Antioquia;05036;Angelópolis;2024;Centros Poblados y Rural Disperso;3.459
05;Antioquia;05036;Angelópolis;2024;Total;6.166
