|PERIODO_NUEVO|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total_x|Departamento|Municipio|REGION|Tasa_apro|Ton_percapita_apro|kg_percapita_apro
56|2017-04|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|32232.812650000003|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|14.343309966755388|0.004392918117727292|4.392918117727293
57|2017-03|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|25804.0587|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11.820732745445557|0.00351676157476529|3.51676157476529
58|2017-02|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|19589.010499999997|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|9.236619504976728|0.002669730379045905|2.669730379045905
59|2016-12|BOGOTA, D.C.-BOGOTA, D.C.|182993.85|15698.360250000002|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|7.900843334647037|0.002150189914473769|2.1501899144737693
60|2017-01|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|14283.216749999998|2017|7337449|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|6.907643894559367|0.0019466188793952773|1.9466188793952772
61|2016-10|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|11487.8054|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|5.906892002220383|0.0015734741028456969|1.5734741028456969
62|2016-09|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10821.42275|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|5.583377239355636|0.0014822002863201587|1.4822002863201587
63|2016-11|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10686.9223|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|5.517810090892149|0.001463777883822281|1.463777883822281
64|2016-07|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10386.918500000002|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|5.371233697590247|0.0014226866402279824|1.4226866402279825
65|2016-08|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|9783.26165|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|5.074915413212446|0.0013400043186349991|1.3400043186349992
66|2021-11|ANTIOQUIA-MEDELLIN|55153.17|7982.12|2021|2573220|ANTIOQUIA|MEDELLIN|EJE CAFETERO|12.6428816593699|0.0031019967200628007|3.1019967200628007
67|2021-03|ANTIOQUIA-MEDELLIN|55254.75|7143.2|2021|2573220|ANTIOQUIA|MEDELLIN|EJE CAFETERO|11.447811987413047|0.0027759771803421394|2.7759771803421396
68|2021-02|ANTIOQUIA-MEDELLIN|55254.75|6999.990000000001|2021|2573220|ANTIOQUIA|MEDELLIN|EJE CAFETERO|11.24410767758407|0.0027203231748548513|2.720323174854851
69|2021-01|ANTIOQUIA-MEDELLIN|55254.75|6915.089999999999|2021|2573220|ANTIOQUIA|MEDELLIN|EJE CAFETERO|11.122901393987823|0.0026873294937859956|2.6873294937859957
70|2020-07|ATLANTICO-BARRANQUILLA|31933.0|6363.319999999999|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|16.61600905778936|0.004993776731410633|4.993776731410633
71|2020-09|ATLANTICO-BARRANQUILLA|39370.0|6344.650000000001|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|13.878811278222628|0.00497912497547577|4.97912497547577
72|2016-06|BOGOTA, D.C.-BOGOTA, D.C.|190748.262|6314.770749999999|2016|7300918|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|3.204442082250457|0.0008649283213426036|0.8649283213426037
73|2020-10|ATLANTICO-BARRANQUILLA|39370.0|6219.95|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|13.64324812815105|0.004881263488326466|4.881263488326466
74|2020-12|ANTIOQUIA-MEDELLIN|52094.72|6057.549999999999|2020|2533424|ANTIOQUIA|MEDELLIN|EJE CAFETERO|10.41670428342694|0.002391052583381226|2.391052583381226
75|2020-08|ATLANTICO-BARRANQUILLA|31933.0|5965.219999999999|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|15.740105999701303|0.004681357661369433|4.681357661369433
76|2020-12|ATLANTICO-BARRANQUILLA|39370.0|5946.620000000003|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|13.122382031140015|0.004666760839709635|4.666760839709635
77|2021-02|ATLANTICO-BARRANQUILLA|41300.0|5839.009999999999|2021|1297082|ATLANTICO|BARRANQUILLA|CARIBE|12.386789624983637|0.004501650628102155|4.501650628102155
78|2020-09|ANTIOQUIA-MEDELLIN|52094.72|5715.910000000002|2020|2533424|ANTIOQUIA|MEDELLIN|EJE CAFETERO|9.887299273507313|0.0022561995149647284|2.2561995149647283
79|2020-10|ANTIOQUIA-MEDELLIN|52094.72|5706.88|2020|2533424|ANTIOQUIA|MEDELLIN|EJE CAFETERO|9.87322150251896|0.002252635168846589|2.252635168846589
80|2020-02|ATLANTICO-BARRANQUILLA|67392.0|5637.9|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|7.719988662178094|0.004424484991171277|4.424484991171277
